disc,arclength,x,y,curvature,devstage,genotype,crosssection
20201013_ecadGFPnbG4_upcrawling_disc4,-264.5910673965276,128.14641198182863,-159.3312918645711,0.014825540602238469,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-259.23459064199847,130.82973376212928,-154.8246486110379,0.015300234433209632,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-253.8781138874694,133.11318290306335,-150.1894446592012,0.014937189811509289,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-248.52163713294027,135.02040908559417,-145.43045075202792,0.013800061903233917,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-243.16516037841117,136.58668262253644,-140.55174952588894,0.012123427019260126,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-237.80868362388208,137.85366093475366,-135.55761786419228,0.010231402138388914,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-232.45220686935298,138.86415502735582,-130.4534092510171,0.008446232373098586,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-227.09573011482388,139.65690479792744,-125.24643438850201,0.007022574362903092,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-221.73925336029475,140.2620531480251,-119.94670443995994,0.006025329772578609,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-216.38277660576566,140.69985425665246,-114.567038485108,0.005410296686276772,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-211.02629985123656,140.98162924236553,-109.12272917229704,0.0051245874948689565,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-205.66982309670746,141.11092003237258,-103.6311694062103,0.005119204133816877,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-200.31334634217836,141.08464336490073,-98.11147900936332,0.005352947694693447,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-194.95686958764924,140.89424479156338,-92.58413138360402,0.005792241490434491,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-189.60039283312017,140.52685267972706,-87.0705801716128,0.006408780153388478,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-184.24391607859104,139.96643221487867,-81.59288591840246,0.0071759150382750495,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-178.88743932406194,139.19493940299256,-76.17334273281838,0.008064239316320353,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-173.53096256953285,138.1934750728975,-70.83410494903848,0.00903682194568538,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-168.17448581500372,136.94343887864378,-65.59681378807325,0.010044874156020046,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-162.81800906047465,135.4276833018705,-60.48222401926591,0.011025183253660273,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-157.46153230594552,133.63166765417222,-55.50983062179219,0.01190109729663106,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-152.10505555141643,131.5446120201209,-50.69749546250938,0.012589023039965595,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-146.74857879688733,129.16059077091396,-46.06109062100507,0.013032960487707489,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-141.3921020423582,126.47899218733819,-41.614316340075206,0.013227766901693657,wL3,ecadGFPnbG4,Across_DV
